id,title,release date,genres,director,producers,actor,supporting actors,media format,run time,MPAA rating,subtitles,studio,Item model number,Date First Available,IMDb,audio languages
B0007TKNK6,The Complete James Dean Collection (East of Eden / Giant / Rebel Without a Cause Special Edition),"January 25, 2011",All Titles,"Ara Chekmayan,Elia Kazan,George Stevens,Nicholas Ray",,"James Dean,Natalie Wood,Elizabeth Taylor,Rock Hudson,Raymond Massey",,"Box set,Closed-captioned,Color,NTSC",7 hours and 10 minutes,s_medPG PG (Parental Guidance Suggested),,Warner Home Video,,,,
B002N7PLUC,The Quick & Dirty Guide to Hip Hop,"May 10, 2011",Special Interests,Debdoot Das,,"Phil Turay,Syndee M. Winters",,"Color,NTSC,Widescreen",1 hour,s_medNotRated NR (Not Rated),,Digifilm Inc.,20000,,,
B0001GH754,"Cult Horror Classics (Limited Edition): The Hooker Cult Murders / Fangs of the Living Dead / Graveyard Tramps / Sisters of Death / the Night Evelyn Came out of the Grave / the Demon / the Devil's Nightmare / Kiss Me, Kill Me","February 24, 2004",Horror,"Harvey Hart,Amando de Ossorio,Denis Sanders,Joseph Mazzuca,Emilio Miraglia",,"Karen Black,Christopher Plummer,Anita Ekberg,William Smith,Anitra Ford",,"Color,NTSC",12 hours and 15 minutes,s_medNotRated NR (Not Rated),,St Clair Vision,,,,
B002IJ246O,Def By Temptation,1990,"Horror,Drama",James Bond III,,"muel L. Jackson,Kadeem Hardison,Bill Nunn",,Prime Video (streaming online video),1h 31min,,English [CC],Troma Entertainment,,,4.6,English
B00457ZWOS,MOVIE101,,,,,,,,,,,,,,,
B006RAX306,Something To Talk About,1995,Drama,Lasse Hallstrom,"Anthea Sylbert,Paula Weinstein","Julia Roberts,Dennis Quaid,Robert Duvall","Gena Rowlands,Kyra Sedgwick,Brett Cullen,Haley Aull,Muse Watson,more…Anne Shropshire",Prime Video (streaming online video),1h 45min,R (Restricted),English [CC],Warner Bros.,,,5.7,English
B00080ZG5Q,All the Right Moves,"December 5, 2005",All Fox Titles,Michael Chapman,,"Tom Cruise,Lea Thompson,Craig T. Nelson,Charles Cioffi,Gary Graham",,"Closed-captioned,Color,NTSC",1 hour and 31 minutes,s_medR R (Restricted),,20th Century Fox,,,,
B000M40K2W,Alex Rider - Operation Stormbreaker (Widescreen Edition),,Action & Adventure,Geoffrey Sax,,"Alex Pettyfer,Ewan McGregor,Alicia Silverstone,Mickey Rourke,Robbie Coltrane",,Widescreen,93 minutes,s_medPG PG (Parental Guidance Suggested),,"GENIUS PRODUCTS, INC.",79709,,,
B000JMK6U8,Emergency Exit,"December 27, 2006",Comedy,Roman Zaluski,,"Bozena Dykiel,Jerzy Michotek,Maria Gladkowska,Andrzej Golejewski,Krzysztof Kowalewski",,"Color,Full Screen,NTSC,Subtitled",1 hour and 29 minutes,s_medNotRated Unrated (Not Rated),,Polart,,,,
6304368844,The World's Greatest Athlete [VHS],"March 18, 1997",7-11 Years,Robert Scheerer,,"John Amos,Jan-Michael Vincent,Tim Conway,Roscoe Lee Browne,Dayle Haddon",,,1 hour and 33 minutes,,,Buena Vista Home Ent,,"December 29, 2006",,
B00005B962,Surfing Shorts,,Documentary,Bruce Brown,,Bruce Brown,,NTSC,1 hour and 16 minutes,,,,,,,
B002R0HT3M,Pray the Devil Back to Hell,"November 24, 2009",Documentary,Gini Reticker,,"Janet Johnson Bryant,Etweda Cooper,Vaiba Flomo,Leymah Gbowee,Asatu Bah Kenneth",,"Multiple Formats,Color,NTSC,Widescreen",1 hour and 12 minutes,s_medNotRated NR (Not Rated),,Fork Films Llc,6633627,,,
